LibID,rating,ProjectID
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,2
15,1,2
16,1,2
17,1,2
18,1,2
19,1,2
20,1,2
21,1,2
22,1,2
23,1,2
24,1,2
25,1,2
12,1,2
26,1,3
27,1,3
28,1,3
29,1,3
30,1,3
31,1,3
32,1,3
33,1,3
34,1,3
35,1,3
36,1,3
37,1,3
38,1,3
39,1,3
40,1,3
41,1,3
42,1,3
43,1,3
44,1,4
45,1,4
46,1,4
30,1,4
47,1,4
48,1,4
49,1,4
50,1,4
51,1,4
52,1,4
53,1,4
54,1,4
55,1,4
56,1,4
39,1,4
57,1,4
58,1,4
59,1,4
60,1,4
61,1,4
12,1,4
62,1,4
63,1,4
64,1,5
65,1,5
66,1,5
67,1,5
68,1,5
69,1,5
70,1,5
71,1,5
72,1,5
73,1,5
74,1,5
75,1,5
76,1,5
77,1,5
78,1,5
79,1,5
80,1,5
81,1,6
82,1,6
83,1,6
84,1,6
2,1,6
85,1,6
86,1,6
87,1,6
88,1,6
89,1,6
90,1,6
91,1,6
92,1,6
93,1,6
75,1,6
58,1,6
94,1,6
12,1,6
95,1,6
96,1,7
97,1,7
2,1,7
98,1,7
99,1,7
58,1,7
100,1,7
101,1,7
102,1,7
103,1,7
104,1,7
105,1,7
106,1,7
107,1,7
108,1,7
4,1,7
109,1,7
110,1,7
111,1,7
112,1,7
57,1,7
75,1,7
113,1,7
12,1,7
114,1,8
115,1,8
116,1,8
117,1,8
118,1,8
119,1,8
120,1,8
121,1,8
122,1,8
123,1,8
124,1,8
125,1,8
126,1,8
127,1,8
128,1,8
129,1,8
130,1,8
131,1,8
132,1,8
133,1,8
134,1,8
135,1,8
136,1,8
137,1,8
138,1,8
139,1,8
140,1,8
141,1,8
142,1,8
143,1,8
144,1,8
145,1,8
12,1,8
146,1,8
147,1,8
148,1,8
149,1,8
150,1,8
151,1,8
152,1,8
153,1,8
83,1,8
154,1,8
155,1,8
156,1,8
157,1,8
158,1,8
159,1,8
160,1,8
161,1,8
162,1,8
89,1,8
163,1,8
164,1,8
165,1,8
166,1,8
167,1,8
168,1,8
73,1,8
99,1,8
169,1,8
76,1,8
170,1,8
101,1,8
171,1,8
102,1,8
172,1,8
173,1,8
174,1,8
175,1,8
176,1,8
177,1,8
106,1,8
178,1,8
179,1,8
180,1,8
181,1,8
182,1,8
183,1,8
184,1,8
185,1,8
186,1,8
187,1,8
74,1,8
188,1,8
189,1,8
190,1,8
191,1,8
192,1,8
193,1,8
194,1,9
195,1,9
57,1,9
196,1,9
197,1,9
2,1,9
198,1,9
12,1,9
199,1,9
200,1,9
201,1,10
202,1,10
203,1,10
83,1,10
204,1,10
205,1,10
2,1,10
206,1,10
199,1,10
207,1,10
89,1,10
208,1,10
130,1,10
209,1,10
58,1,10
210,1,10
211,1,10
212,1,10
213,1,10
172,1,10
214,1,10
215,1,10
216,1,10
4,1,10
217,1,10
218,1,10
219,1,10
220,1,10
221,1,10
110,1,10
222,1,10
223,1,10
224,1,10
225,1,10
57,1,10
226,1,10
227,1,10
228,1,10
229,1,10
230,1,10
12,1,10
231,1,10
232,1,10
233,1,11
83,1,11
234,1,11
235,1,11
117,1,11
236,1,11
89,1,11
237,1,11
165,1,11
238,1,11
239,1,11
240,1,11
58,1,11
241,1,11
242,1,11
243,1,11
244,1,11
245,1,11
246,1,11
247,1,11
108,1,11
248,1,11
249,1,11
87,1,11
250,1,11
251,1,11
252,1,11
253,1,11
254,1,11
220,1,11
255,1,11
256,1,11
228,1,11
257,1,11
258,1,11
259,1,11
260,1,11
261,1,11
262,1,11
12,1,11
263,1,11
264,1,11
81,1,12
205,1,12
33,1,12
265,1,12
85,1,12
266,1,12
52,1,12
267,1,12
268,1,12
58,1,12
60,1,12
12,1,12
237,1,13
106,1,13
228,1,13
269,1,13
136,1,13
58,1,13
270,1,13
12,1,13
89,1,13
237,1,14
271,1,14
272,1,14
273,1,14
274,1,14
205,1,14
275,1,14
276,1,14
2,1,14
